lat,lng,name,address
45.5230622,-122.6764816,food fight!,"1217 SE Stark, Portland, OR, USA"
45.5380323,-122.6719427,get happy studios,"2119 N Kerby Ave, Portland, OR, USA"
45.5548209,-122.660832,glitterdome,"4317 NE Grand Ave., Portland, OR, USA"
45.5230622,-122.6764816,goodfoot,"2845 SE Stark, Portland, OR, USA"
45.5230622,-122.6764816,green roots cafe,"1825 SW Broadway, Rm 26, Portland, OR, USA"
45.5230622,-122.6764816,ground kontrol,"511 NW Couch, Portland, OR, USA"
45.5352581,-122.6573762,habesha,"801 NE BROADWAY PORTLAND, OR, USA"
45.5230622,-122.6764816,hawthorne lounge,"3900 SE Hawthorne, Portland, OR, USA"
45.5119969,-122.6228412,hawthorne theater,"1507 SE 39Th Ave, Portland, OR, USA"
45.5119969,-122.6228412,hawthorne theatre club lounge,"1507 SE 39Th Ave, Portland , OR, USA"
45.560752,-122.674675,heretic house,"5216 N Albina Ave, Portland, OR, USA"
45.5230622,-122.6764816,high water mark,"6800 NE MLK, Portland, OR, USA"
45.5354873,-122.6206263,hollywood theatre,"4122 SE Sandy Blvd, Portland, OR, USA"
45.5583317,-122.5512734,hollywood's hot rod bar and grill,"10810 NE Sandy Blvd, Portland, OR, USA"
45.5173871,-122.6553602,holocene,"1001 SE Morrison St, Portland, OR, USA"
45.5230622,-122.6764816,human flesh body world / pearadise / 40hoz,"fremont & williams /// ask ne portland, OR, USA"
45.6503418,-122.6671237,itat2to organics and the wicked vegan,"3909 Main St Vancouver, OR, USA"
45.5230622,-122.6764816,jade lounge,"2342 SE Ankeny, Portland, OR, USA"
45.52527629999999,-122.6809741,jimmy maks,"300 NW 10Th Ave, Portland, OR, USA"
45.5230622,-122.6764816,katie o' brien's,"2809 NE Sandy, Portland, OR, USA"
45.5230622,-122.6764816,"keen ""great room"" nw","NW 13th and Lovejoy, Portland, OR, USA"
45.5230622,-122.6764816,keller auditorium,"222 SW Clay, Portland, OR, USA"
45.5199352,-122.6765458,kelly's olympian,"426 SW Washington St., Portland, OR, USA"
,,kennedy school,"5736 NE 33Rd Ave, Portland, OR, USA"
,,kenton club,"2025 N Kilpatrick, Portland, OR, USA"
,,killingsworth dynasty,"832 N Killingsworth, Portland, OR, USA"
,,know,"2026 NE Alberta Street, Portland, OR, USA"
,,laurelthirst,"2958 NE Glisan St, Portland, OR, USA"
47.0453177,-122.8977514,le vouyeur,"404 E 4th Avenue Olympia, WA, USA"
45.51314259999999,-122.6835597,lincoln performance hall,"1620 SW Park Ave., Portland, OR, USA"
45.5230622,-122.6764816,live fridays,"Www.Kpsu.Org Or 1450 Am, Portland, OR, USA"
45.5230622,-122.6764816,lolas room,"1332 W. Burnside, Portland, OR, USA"
45.51468510000001,-122.6821211,lost house,"ne 2nd/Broadway, Portland, OR, USA"
45.5230622,-122.6764816,lovecraft bar,"421 SE Grand, Portland, OR, USA"
45.5133403,-122.6542641,mad sons,"1109 SE Madison St, Portland, OR, USA"
45.6262836,-122.6708024,malibu's,"115 E 7th St Vancouver, WA, USA"
45.529227,-122.558873,megaton haus,"10128 NE Pacific St., Portland, OR, USA"
45.529227,-122.558873,megaton house,"10128 NE Pacific St., Portland, OR, USA"
,,mike's basement,"5524 NE 13th, Portland, OR, USA"
,,mission theater,"1624 NW Glisan, Portland, OR, USA"
,,mississippi pizza,"3552 N. Mississippi, Portland, OR, USA"
,,mississippi street fair,"N. Mississippi, Portland, OR, USA"
,,mississippi studios,"3939 N Mississippi, Portland, OR, USA"
,,moda center (rose garden),"1 N Center Ct St, Portland, OR, USA"
,,mom house,"Ask a homie, Portland, OR, USA"
,,mother focault's bookshop,"523 SE Morrison St., Portland, OR, USA"
,,mothership music,"3611 NE MLK, Portland, OR, USA"
,,music millennium eastside,"3158 E Burnside, Portland, OR, USA"
,,my friend ben scott's house,"Ask Ben Scott, Portland, OR, USA"
,,myrlyns pyt,"6516 NE 33rd Ave, Portland , OR, USA"
,,ne 41st house show,"4934 NE 41st ave, Portland, OR, USA"
,,neighbor dudes,"9740 SW Wilsonville Rd #200 Wilsonville, OR, USA"
,,new black water,"835 NE Broadway, Portland, OR, USA"
,,new scowl,"7503 N kerby portland, OR, USA"
45.5166218,-122.681321,newmark theater,"1111 SW Broadway, Portland, OR, USA"
45.5151394,-122.6855865,old church,"1422 SW 11Th Avenue, Portland, OR, USA"
44.057457,-123.099898,old nicks,"211 Washington ST Eugene, OR, USA"
45.4891709,-122.5951256,omalleys,"6535 SE Foster Rd, Portland, OR, USA"
45.4891709,-122.5951256,o'malley's,"6535 SE Foster Rd, Portland, OR, USA"
45.50855380000001,-122.7131219,oregon zoo,"4001 SW Canyon Rd., Portland, OR, USA"
45.42664,-122.673116,panic room,"886 9Th St Lake Oswego, OR, USA"
45.5306766,-122.6325355,panic room (tonic lounge),"3100 NE Sandy Blvd, Portland, OR, USA"
45.5230622,-122.6764816,parkway north psu smith bldg.,"1825 SW Broadway,, Portland, Or, Portland, OR, USA"
45.5230622,-122.6764816,party boy mansion,"1328 SE Division, Portland, OR, USA"
,,peter's room (roseland grill),"8 NW 6th Ave, Portland, OR, USA"
,,pig n pancake,"1706 N Jarrett Portlnd, OR, USA"
,,pioneer courthouse square,"Sw Broadway & SW Yamhill, Portland, OR, USA"
,,plews brews,"8409 N Lombard St, Portland, OR, USA"
