name,address
lolas room,"1332 W. Burnside, Portland, OR, USA"
lost house,"ne 2nd/Broadway, Portland, OR, USA"
lovecraft bar,"421 SE Grand, Portland, OR, USA"
mad sons,"1109 SE Madison St, Portland, OR, USA"
malibu's,"115 E 7th St Vancouver, WA, USA"
megaton haus,"10128 NE Pacific St., Portland, OR, USA"
megaton house,"10128 NE Pacific St., Portland, OR, USA"
mike's basement,"5524 NE 13th, Portland, OR, USA"
mission theater,"1624 NW Glisan, Portland, OR, USA"
mississippi pizza,"3552 N. Mississippi, Portland, OR, USA"
mississippi street fair,"N. Mississippi, Portland, OR, USA"
mississippi studios,"3939 N Mississippi, Portland, OR, USA"
moda center (rose garden),"1 N Center Ct St, Portland, OR, USA"
mom house,"Ask a homie, Portland, OR, USA"
mother focault's bookshop,"523 SE Morrison St., Portland, OR, USA"
mothership music,"3611 NE MLK, Portland, OR, USA"
music millennium eastside,"3158 E Burnside, Portland, OR, USA"
my friend ben scott's house,"Ask Ben Scott, Portland, OR, USA"
myrlyns pyt,"6516 NE 33rd Ave, Portland , OR, USA"
ne 41st house show,"4934 NE 41st ave, Portland, OR, USA"
neighbor dudes,"9740 SW Wilsonville Rd #200 Wilsonville, OR, USA"
new black water,"835 NE Broadway, Portland, OR, USA"
new scowl,"7503 N kerby portland, OR, USA"
newmark theater,"1111 SW Broadway, Portland, OR, USA"
old church,"1422 SW 11Th Avenue, Portland, OR, USA"
old nicks,"211 Washington ST Eugene, OR, USA"
omalleys,"6535 SE Foster Rd, Portland, OR, USA"
o'malley's,"6535 SE Foster Rd, Portland, OR, USA"
oregon zoo,"4001 SW Canyon Rd., Portland, OR, USA"
panic room,"886 9Th St Lake Oswego, OR, USA"
panic room (tonic lounge),"3100 NE Sandy Blvd, Portland, OR, USA"
parkway north psu smith bldg.,"1825 SW Broadway,, Portland, Or, Portland, OR, USA"
party boy mansion,"1328 SE Division, Portland, OR, USA"
peter's room (roseland grill),"8 NW 6th Ave, Portland, OR, USA"
pig n pancake,"1706 N Jarrett Portlnd, OR, USA"
pioneer courthouse square,"Sw Broadway & SW Yamhill, Portland, OR, USA"
plews brews,"8409 N Lombard St, Portland, OR, USA"
