name,address
o'malley's,"6535 SE Foster Rd Portland"
"oregon zoo","4001 Sw Canyon Rd. Portland"
"panic room","886 9Th St Lake Oswego"
"panic room (tonic lounge)","3100 Ne Sandy Blvd Portland"
"parkway north psu smith bldg.","1825 Sw Broadway, Portland Portland"
"party boy mansion","1328 SE Division Portland"
"peter's room (roseland grill)","8 NW 6th Ave Portland"
"pig n pancake","1706 N Jarrett Portlnd"
"pioneer courthouse square","Sw Broadway & Sw Yamhill Portland"
"plews brews","8409 N Lombard St Portland"
